The character in the image is a bearded man with a long beard and a mustache. He has a tattoo on his chest, and his appearance suggests that he might be a warrior or a character from a fantasy world. The man appears to be in his 40s, and his ethnicity is not discernible from the image. He is wearing a leather outfit, which adds to his warrior-like appearance. The man is also wearing a necklace, which further enhances his unique and intriguing look.

The ARKit expression blendshape scores:
browDownLeft (0.28),
browDownRight (0.26),
eyeLookInLeft (0.35),
eyeLookOutRight (0.35),
eyeLookUpLeft (0.49),
eyeLookUpRight (0.50),
eyeSquintLeft (0.74),
eyeSquintRight (0.79),
mouthPressLeft (0.31),
mouthPressRight (0.16),
mouthRollLower (0.22),
mouthRollUpper (0.26).
